Borough,Year,FIPS County Code,NTA Code,NTA Name,Population
Bronx,2000,005,BX01,Claremont-Bathgate,28149
Bronx,2000,005,BX03,Eastchester-Edenwald-Baychester,35422
Bronx,2000,005,BX05,Bedford Park-Fordham North,55329
Bronx,2000,005,BX06,Belmont,25967
Bronx,2000,005,BX07,Bronxdale,34309
Bronx,2000,005,BX08,West Farms-Bronx River,34542
Bronx,2000,005,BX09,Soundview-Castle Hill-Clason Point-Harding Park,50753
Bronx,2000,005,BX10,Pelham Bay-Country Club-City Island,27140
Bronx,2000,005,BX13,Co-Op City,40676
Bronx,2000,005,BX14,East Concourse-Concourse Village,58961
Bronx,2000,005,BX17,East Tremont,39280
Bronx,2000,005,BX22,North Riverdale-Fieldston-Riverdale,28013
Bronx,2000,005,BX26,Highbridge,33844
Bronx,2000,005,BX27,Hunts Point,25142
Bronx,2000,005,BX28,Van Cortlandt Village,50607
Bronx,2000,005,BX29,Spuyten Duyvil-Kingsbridge,29872
Bronx,2000,005,BX30,Kingsbridge Heights,33286
Bronx,2000,005,BX31,Allerton-Pelham Gardens,28510
Bronx,2000,005,BX33,Longwood,23082
Bronx,2000,005,BX34,Melrose South-Mott Haven North,33195
Bronx,2000,005,BX35,Morrisania-Melrose,29797
Bronx,2000,005,BX36,University Heights-Morris Heights,54335
Bronx,2000,005,BX37,Van Nest-Morris Park-Westchester Square,27135
Bronx,2000,005,BX39,Mott Haven-Port Morris,49030
Bronx,2000,005,BX40,Fordham South,26880
Bronx,2000,005,BX41,Mount Hope,52649
Bronx,2000,005,BX43,Norwood,40817
Bronx,2000,005,BX44,Williamsbridge-Olinville,57420
Bronx,2000,005,BX46,Parkchester,29353
Bronx,2000,005,BX49,Pelham Parkway,30006
Bronx,2000,005,BX52,Schuylerville-Throgs Neck-Edgewater Park,43712
Bronx,2000,005,BX55,Soundview-Bruckner,35137
Bronx,2000,005,BX59,Westchester-Unionport,25768
Bronx,2000,005,BX62,Woodlawn-Wakefield,43583
Bronx,2000,005,BX63,West Concourse,39557
Bronx,2000,005,BX75,Crotona Park East,18072
Bronx,2000,005,BX98,Rikers Island,12780
Bronx,2000,005,BX99,park-cemetery-etc-Bronx,540
Brooklyn,2000,047,BK09,Brooklyn Heights-Cobble Hill,22548
Brooklyn,2000,047,BK17,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,64596
Brooklyn,2000,047,BK19,Brighton Beach,35244
Brooklyn,2000,047,BK21,Seagate-Coney Island,34267
Brooklyn,2000,047,BK23,West Brighton,17370
Brooklyn,2000,047,BK25,Homecrest,45679
Brooklyn,2000,047,BK26,Gravesend,29257
Brooklyn,2000,047,BK27,Bath Beach,28572
Brooklyn,2000,047,BK28,Bensonhurst West,84640
Brooklyn,2000,047,BK29,Bensonhurst East,58566
Brooklyn,2000,047,BK30,Dyker Heights,39332
Brooklyn,2000,047,BK31,Bay Ridge,80539
Brooklyn,2000,047,BK32,Sunset Park West,52312
Brooklyn,2000,047,BK33,Carroll Gardens-Columbia Street-Red Hook,38327
Brooklyn,2000,047,BK34,Sunset Park East,66150
Brooklyn,2000,047,BK35,Stuyvesant Heights,61827
Brooklyn,2000,047,BK37,Park Slope-Gowanus,67263
Brooklyn,2000,047,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,30847
Brooklyn,2000,047,BK40,Windsor Terrace,20779
Brooklyn,2000,047,BK41,Kensington-Ocean Parkway,36937
Brooklyn,2000,047,BK42,Flatbush,110875
Brooklyn,2000,047,BK43,Midwood,55440
Brooklyn,2000,047,BK44,Madison,39076
Brooklyn,2000,047,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,42940
Brooklyn,2000,047,BK46,Ocean Parkway South,20556
Brooklyn,2000,047,BK50,Canarsie,85058
Brooklyn,2000,047,BK58,Flatlands,66726
Brooklyn,2000,047,BK60,Prospect Lefferts Gardens-Wingate,70300
Brooklyn,2000,047,BK61,Crown Heights North,103462
Brooklyn,2000,047,BK63,Crown Heights South,42370
Brooklyn,2000,047,BK64,Prospect Heights,19655
Brooklyn,2000,047,BK68,Fort Greene,28335
Brooklyn,2000,047,BK69,Clinton Hill,33292
Brooklyn,2000,047,BK72,Williamsburg,32269
Brooklyn,2000,047,BK73,North Side-South Side,40130
Brooklyn,2000,047,BK75,Bedford,59227
Brooklyn,2000,047,BK76,Greenpoint,37821
Brooklyn,2000,047,BK77,Bushwick North,56093
Brooklyn,2000,047,BK78,Bushwick South,64617
Brooklyn,2000,047,BK79,Ocean Hill,30067
Brooklyn,2000,047,BK81,Brownsville,59099
Brooklyn,2000,047,BK82,East New York,83275
Brooklyn,2000,047,BK83,Cypress Hills-City Line,48961
Brooklyn,2000,047,BK85,East New York (Pennsylvania Ave),27624
Brooklyn,2000,047,BK88,Borough Park,101055
Brooklyn,2000,047,BK90,East Williamsburg,31878
Brooklyn,2000,047,BK91,East Flatbush-Farragut,56033
Brooklyn,2000,047,BK93,Starrett City,14621
Brooklyn,2000,047,BK95,Erasmus,31392
Brooklyn,2000,047,BK96,Rugby-Remsen Village,57934
Brooklyn,2000,047,BK99,park-cemetery-etc-Brooklyn,93
Manhattan,2000,061,MN01,Marble Hill-Inwood,49087
Manhattan,2000,061,MN03,Central Harlem North-Polo Grounds,70016
Manhattan,2000,061,MN04,Hamilton Heights,50555
Manhattan,2000,061,MN06,Manhattanville,24772
Manhattan,2000,061,MN09,Morningside Heights,54208
Manhattan,2000,061,MN11,Central Harlem South,39075
Manhattan,2000,061,MN12,Upper West Side,136954
Manhattan,2000,061,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,55839
Manhattan,2000,061,MN14,Lincoln Square,55239
Manhattan,2000,061,MN15,Clinton,40595
Manhattan,2000,061,MN17,Midtown-Midtown South,25807
Manhattan,2000,061,MN19,Turtle Bay-East Midtown,49737
Manhattan,2000,061,MN20,Murray Hill-Kips Bay,48419
Manhattan,2000,061,MN21,Gramercy,26184
Manhattan,2000,061,MN22,East Village,41746
Manhattan,2000,061,MN23,West Village,68483
Manhattan,2000,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,36757
Manhattan,2000,061,MN25,Battery Park City-Lower Manhattan,20088
Manhattan,2000,061,MN27,Chinatown,52375
Manhattan,2000,061,MN28,Lower East Side,72258
Manhattan,2000,061,MN31,Lenox Hill-Roosevelt Island,76631
Manhattan,2000,061,MN32,Yorkville,76768
Manhattan,2000,061,MN33,East Harlem South,56899
Manhattan,2000,061,MN34,East Harlem North,57148
Manhattan,2000,061,MN35,Washington Heights North,73457
Manhattan,2000,061,MN36,Washington Heights South,93671
Manhattan,2000,061,MN40,Upper East Side-Carnegie Hill,63664
Manhattan,2000,061,MN50,Stuyvesant Town-Cooper Village,19101
Manhattan,2000,061,MN99,park-cemetery-etc-Manhattan,1662
Queens,2000,081,QN01,South Jamaica,35181
Queens,2000,081,QN02,Springfield Gardens North,25441
Queens,2000,081,QN03,Springfield Gardens South-Brookville,18950
Queens,2000,081,QN05,Rosedale,25502
Queens,2000,081,QN06,Jamaica Estates-Holliswood,26061
Queens,2000,081,QN07,Hollis,20747
Queens,2000,081,QN08,St. Albans,50046
Queens,2000,081,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,26711
Queens,2000,081,QN12,Hammels-Arverne-Edgemere,31645
Queens,2000,081,QN15,Far Rockaway-Bayswater,48344
Queens,2000,081,QN17,Forest Hills,85046
Queens,2000,081,QN18,Rego Park,29404
Queens,2000,081,QN19,Glendale,31071
Queens,2000,081,QN20,Ridgewood,69455
Queens,2000,081,QN21,Middle Village,37629
Queens,2000,081,QN22,Flushing,69362
Queens,2000,081,QN23,College Point,21407
Queens,2000,081,QN25,Corona,52082
Queens,2000,081,QN26,North Corona,47156
Queens,2000,081,QN27,East Elmhurst,21183
Queens,2000,081,QN28,Jackson Heights,113327
Queens,2000,081,QN29,Elmhurst,87972
Queens,2000,081,QN30,Maspeth,28916
Queens,2000,081,QN31,Hunters Point-Sunnyside-West Maspeth,61947
Queens,2000,081,QN33,Cambria Heights,20944
Queens,2000,081,QN34,Queens Village,57704
Queens,2000,081,QN35,Briarwood-Jamaica Hills,38675
Queens,2000,081,QN37,Kew Gardens Hills,36052
Queens,2000,081,QN38,Pomonok-Flushing Heights-Hillcrest,31734
Queens,2000,081,QN41,Fresh Meadows-Utopia,17373
Queens,2000,081,QN42,Oakland Gardens,27873
Queens,2000,081,QN43,Bellerose,24464
Queens,2000,081,QN44,Glen Oaks-Floral Park-New Hyde Park,22426
Queens,2000,081,QN45,Douglas Manor-Douglaston-Little Neck,24356
Queens,2000,081,QN46,Bayside-Bayside Hills,44371
Queens,2000,081,QN47,Ft. Totten-Bay Terrace-Clearview,22731
Queens,2000,081,QN48,Auburndale,20201
Queens,2000,081,QN49,Whitestone,31356
Queens,2000,081,QN50,Elmhurst-Maspeth,24338
Queens,2000,081,QN51,Murray Hill,53009
Queens,2000,081,QN52,East Flushing,26516
Queens,2000,081,QN53,Woodhaven,54149
Queens,2000,081,QN54,Richmond Hill,62985
Queens,2000,081,QN55,South Ozone Park,78906
Queens,2000,081,QN56,Ozone Park,21052
Queens,2000,081,QN57,Lindenwood-Howard Beach,28121
Queens,2000,081,QN60,Kew Gardens,23888
Queens,2000,081,QN61,Jamaica,51849
Queens,2000,081,QN62,Queensboro Hill,19309
Queens,2000,081,QN63,Woodside,43846
Queens,2000,081,QN66,Laurelton,26375
Queens,2000,081,QN68,Queensbridge-Ravenswood-Long Island City,21104
Queens,2000,081,QN70,Astoria,89122
Queens,2000,081,QN71,Old Astoria,28847
Queens,2000,081,QN72,Steinway,53604
Queens,2000,081,QN76,Baisley Park,35729
Queens,2000,081,QN98,Airport,0
Queens,2000,081,QN99,park-cemetery-etc-Queens,1785
Staten Island,2000,085,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,26376
Staten Island,2000,085,SI05,New Springville-Bloomfield-Travis,39309
Staten Island,2000,085,SI07,Westerleigh,23790
Staten Island,2000,085,SI08,Grymes Hill-Clifton-Fox Hills,19834
Staten Island,2000,085,SI11,Charleston-Richmond Valley-Tottenville,18332
Staten Island,2000,085,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,27957
Staten Island,2000,085,SI14,Grasmere-Arrochar-Ft. Wadsworth,15238
Staten Island,2000,085,SI22,West New Brighton-New Brighton-St. George,32154
Staten Island,2000,085,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,30762
Staten Island,2000,085,SI25,Oakwood-Oakwood Beach,22266
Staten Island,2000,085,SI28,Port Richmond,18042
Staten Island,2000,085,SI32,Rossville-Woodrow,18894
Staten Island,2000,085,SI35,New Brighton-Silver Lake,16784
Staten Island,2000,085,SI36,Old Town-Dongan Hills-South Beach,23017
